id	action	attribute	value
nmdc:omprc-11-av2pt607	remove item	has_output	nmdc:8d16af5ca7671f7dc42de14deb8b0dd5|
nmdc:omprc-11-av2pt607	insert	has_output	nmdc:dobj-11-mk8g0z48|
nmdc:omprc-11-8nny2x31	remove item	has_output	nmdc:2a3baceee6e3dd4c4fc13567c2fd5df3|
nmdc:omprc-11-8nny2x31	insert	has_output	nmdc:dobj-11-wnhyfb02|
nmdc:omprc-11-kehaxy70	remove item	has_output	nmdc:91ab0ce1ea61b477a64e57a872624cb4|
nmdc:omprc-11-kehaxy70	insert	has_output	nmdc:dobj-11-dedec213|
nmdc:omprc-11-vy356n82	remove item	has_output	nmdc:8f80860812e425dd92344f1f056d3d7e|
nmdc:omprc-11-vy356n82	insert	has_output	nmdc:dobj-11-jhrr6g79|
nmdc:omprc-11-prb0cv32	remove item	has_output	nmdc:52c9e32cf184310313c50a4b0f98f87f|
nmdc:omprc-11-prb0cv32	insert	has_output	nmdc:dobj-11-nvasx719|
nmdc:omprc-11-wg551q49	remove item	has_output	nmdc:754dde7a211a1cd9ecfb990d799c86fc|
nmdc:omprc-11-wg551q49	insert	has_output	nmdc:dobj-11-hvszxd09|
nmdc:omprc-11-wxmc9q81	remove item	has_output	nmdc:74621bf24161e2e072c651c0c489b521|
nmdc:omprc-11-wxmc9q81	insert	has_output	nmdc:dobj-11-gd68pr05|
nmdc:omprc-11-tr1vzf47	remove item	has_output	nmdc:c139345a1c2ba3d6883a53a85463e8e4|
nmdc:omprc-11-tr1vzf47	insert	has_output	nmdc:dobj-11-ggqt5821|
nmdc:omprc-11-g4095b91	remove item	has_output	nmdc:dd43946edb26961e1913c8830f54e5cf|
nmdc:omprc-11-g4095b91	insert	has_output	nmdc:dobj-11-j8wywd98|
nmdc:omprc-11-5yy9k739	remove item	has_output	nmdc:57bd602fa807024237878435a358d136|
nmdc:omprc-11-5yy9k739	insert	has_output	nmdc:dobj-11-z39fma22|
nmdc:omprc-11-2d16h818	remove item	has_output	nmdc:72779f8c6bba0a95693c89a92f4f6be3|
nmdc:omprc-11-2d16h818	insert	has_output	nmdc:dobj-11-8h6jrf40|
nmdc:omprc-11-85jsxt33	remove item	has_output	nmdc:0f65059f9df59fe318f2780fc2e0605d|
nmdc:omprc-11-85jsxt33	insert	has_output	nmdc:dobj-11-rg4yw285|
nmdc:omprc-11-d6c4q479	remove item	has_output	nmdc:65b806917315e7518fdd36887bca0190|
nmdc:omprc-11-d6c4q479	insert	has_output	nmdc:dobj-11-1xpq3c18|
nmdc:omprc-11-keywj942	remove item	has_output	nmdc:a198c6e6ba43f210857ca41f25e0ed10|
nmdc:omprc-11-keywj942	insert	has_output	nmdc:dobj-11-3920nm23|
nmdc:omprc-11-bzxddj92	remove item	has_output	nmdc:38116da337f1e868ba6fec5a184ba2fc|
nmdc:omprc-11-bzxddj92	insert	has_output	nmdc:dobj-11-sgxfd370|
nmdc:omprc-11-4ptjh074	remove item	has_output	nmdc:f098da7fe12707ec59757cd2dfb94d26|
nmdc:omprc-11-4ptjh074	insert	has_output	nmdc:dobj-11-vyej1762|
nmdc:omprc-11-b2wgvw58	remove item	has_output	nmdc:19edfbb924938737398f443c7342d913|
nmdc:omprc-11-b2wgvw58	insert	has_output	nmdc:dobj-11-crxsq090|
nmdc:omprc-11-0yxa3962	remove item	has_output	nmdc:2ab91c737308518038e6e4c0925bd12f|
nmdc:omprc-11-0yxa3962	insert	has_output	nmdc:dobj-11-rk7j1j25|
nmdc:omprc-11-a0bq3b03	remove item	has_output	nmdc:300109666a890c83f10c431a6245561a|
nmdc:omprc-11-a0bq3b03	insert	has_output	nmdc:dobj-11-kyfhgx82|
nmdc:omprc-11-a7b00s66	remove item	has_output	nmdc:796233a318facd24d5c14f44f479dc43|
nmdc:omprc-11-a7b00s66	insert	has_output	nmdc:dobj-11-akwb1p63|
nmdc:omprc-11-sqz66z61	remove item	has_output	nmdc:f31a2a473fa6cc081ff6c136d79c454a|
nmdc:omprc-11-sqz66z61	insert	has_output	nmdc:dobj-11-7sgxta23|
nmdc:omprc-11-prjs5x33	remove item	has_output	nmdc:86cb807a667b81fabb252a75eb79022c|
nmdc:omprc-11-prjs5x33	insert	has_output	nmdc:dobj-11-8szfxz40|
nmdc:omprc-11-y08fp921	remove item	has_output	nmdc:20f714c290eeba8f76fe33ea21bf2291|
nmdc:omprc-11-y08fp921	insert	has_output	nmdc:dobj-11-6fmsmn52|
