id	action	attribute	value
nmdc:omprc-11-8a57gk31	remove item	has_output	nmdc:00bcab4a30f052baf86a21020758c93d|
nmdc:omprc-11-8a57gk31	insert	has_output	nmdc:dobj-11-zktdas48|
nmdc:omprc-11-818v1067	remove item	has_output	nmdc:3127cf86e54f51afed44371b171dd66a|
nmdc:omprc-11-818v1067	insert	has_output	nmdc:dobj-11-sr8m4x29|
nmdc:omprc-11-bsere476	remove item	has_output	nmdc:7bcc083d5cb5061eac85cc9c6e3f46f1|
nmdc:omprc-11-bsere476	insert	has_output	nmdc:dobj-11-31x8qd61|
nmdc:omprc-11-gvffjn80	remove item	has_output	nmdc:f088c9fda5c109d2855a0cea71d216f8|
nmdc:omprc-11-gvffjn80	insert	has_output	nmdc:dobj-11-0ahz5v06|
nmdc:omprc-11-1yf90m20	remove item	has_output	nmdc:9b76897c257eba8d6c57f7e60fcefb33|
nmdc:omprc-11-1yf90m20	insert	has_output	nmdc:dobj-11-mhy81a13|
nmdc:omprc-11-32hbhj52	remove item	has_output	nmdc:c36ac1e9dc01ebf5e47a891b3515d5fb|
nmdc:omprc-11-32hbhj52	insert	has_output	nmdc:dobj-11-af308g10|
nmdc:omprc-11-w8fjn656	remove item	has_output	nmdc:2053780e4faed7cb530a98fd5b017bd7|
nmdc:omprc-11-w8fjn656	insert	has_output	nmdc:dobj-11-0j927719|
nmdc:omprc-11-fkgma293	remove item	has_output	nmdc:542bf743f10f7dfd756f200d2a93d8a2|
nmdc:omprc-11-fkgma293	insert	has_output	nmdc:dobj-11-asv32973|
nmdc:omprc-11-71nazq83	remove item	has_output	nmdc:8016d981405f965f63fc11d081fe999d|
nmdc:omprc-11-71nazq83	insert	has_output	nmdc:dobj-11-f1gkfm45|
nmdc:omprc-11-e26ty847	remove item	has_output	nmdc:16897b0a2a77cbbb75c41f506a39275a|
nmdc:omprc-11-e26ty847	insert	has_output	nmdc:dobj-11-s0qnyc22|
nmdc:omprc-11-hqxj2960	remove item	has_output	nmdc:e5fad665352ec331a676df909c25f15a|
nmdc:omprc-11-hqxj2960	insert	has_output	nmdc:dobj-11-wk6v7m89|
nmdc:omprc-11-bcznwp25	remove item	has_output	nmdc:b32d977bc4635c6bf5396ca01f8a6509|
nmdc:omprc-11-bcznwp25	insert	has_output	nmdc:dobj-11-43me7245|
nmdc:omprc-11-zr692563	remove item	has_output	nmdc:0d42c6ec8149e42bc40930dd5e426dee|
nmdc:omprc-11-zr692563	insert	has_output	nmdc:dobj-11-sjzhnj72|
nmdc:omprc-11-ayjcw905	remove item	has_output	nmdc:d083ea14bad97a71536dd5c5185f5eb3|
nmdc:omprc-11-ayjcw905	insert	has_output	nmdc:dobj-11-afvav529|
nmdc:omprc-11-hap3wz75	remove item	has_output	nmdc:473c3368a62939bef1dd0808070ec711|
nmdc:omprc-11-hap3wz75	insert	has_output	nmdc:dobj-11-b1gz0r87|
nmdc:omprc-11-nwztgb75	remove item	has_output	nmdc:cd5210c2646842354da5fcc8332d4b8b|
nmdc:omprc-11-nwztgb75	insert	has_output	nmdc:dobj-11-xenytx16|
nmdc:omprc-11-5931w091	remove item	has_output	nmdc:ad56b8aa7be717be6bcd30b1cc5b18fb|
nmdc:omprc-11-5931w091	insert	has_output	nmdc:dobj-11-bq7ws370|
nmdc:omprc-11-39jgg096	remove item	has_output	nmdc:938d346f61089085c1bfa5c47c5a68b4|
nmdc:omprc-11-39jgg096	insert	has_output	nmdc:dobj-11-y9txfs60|
nmdc:omprc-11-yqe15172	remove item	has_output	nmdc:c32649322e25631b6b0c8fb7afa4f2b6|
nmdc:omprc-11-yqe15172	insert	has_output	nmdc:dobj-11-en0qdm08|
nmdc:omprc-11-g9n2k085	remove item	has_output	nmdc:bf40f5c64f1ad14aea338577c1f0519e|
nmdc:omprc-11-g9n2k085	insert	has_output	nmdc:dobj-11-3sm3ma56|
nmdc:omprc-11-hz4jc252	remove item	has_output	nmdc:23021128e5cb499b365ed93cd2ba0090|
nmdc:omprc-11-hz4jc252	insert	has_output	nmdc:dobj-11-pxyjzd53|
nmdc:omprc-11-m09ghg21	remove item	has_output	nmdc:00c588f48981d15cbd05923f7577c6f1|
nmdc:omprc-11-m09ghg21	insert	has_output	nmdc:dobj-11-rwcke329|
nmdc:omprc-11-rfprax08	remove item	has_output	nmdc:3c9716a26890ae553d9faa59d08cf4d5|
nmdc:omprc-11-rfprax08	insert	has_output	nmdc:dobj-11-xdchbk20|
nmdc:omprc-11-a68j4w08	remove item	has_output	nmdc:fda8884ae9e2cd51d03483310ea883b9|
nmdc:omprc-11-a68j4w08	insert	has_output	nmdc:dobj-11-9zn4qa73|
nmdc:omprc-11-xnxj0387	remove item	has_output	nmdc:344471f45b66fa91c087df2288467394|
nmdc:omprc-11-xnxj0387	insert	has_output	nmdc:dobj-11-fhjcjf47|
nmdc:omprc-11-5s2eha27	remove item	has_output	nmdc:1ed8014be31f1dfb57b8c9c9f33c4a27|
nmdc:omprc-11-5s2eha27	insert	has_output	nmdc:dobj-11-kkfep374|
nmdc:omprc-11-ap39kt56	remove item	has_output	nmdc:362f68ee88989bd6c74ce6202a991e74|
nmdc:omprc-11-ap39kt56	insert	has_output	nmdc:dobj-11-ajh3cw97|
nmdc:omprc-11-ckb6rr81	remove item	has_output	nmdc:8091e742f19fb03643595ed2d23f9502|
nmdc:omprc-11-ckb6rr81	insert	has_output	nmdc:dobj-11-17xz0014|
nmdc:omprc-11-8mevj163	remove item	has_output	nmdc:f0e59b441fa5c71b4e32b8ede7bc814a|
nmdc:omprc-11-8mevj163	insert	has_output	nmdc:dobj-11-n6rekr61|
nmdc:omprc-11-pzcn7805	remove item	has_output	nmdc:b02af5b182fd42623b3a0b0c01664669|
nmdc:omprc-11-pzcn7805	insert	has_output	nmdc:dobj-11-mw6wm566|
nmdc:omprc-11-ag3zfm09	remove item	has_output	nmdc:236a364669fe7b2d3cf2601ad007911a|
nmdc:omprc-11-ag3zfm09	insert	has_output	nmdc:dobj-11-2gw32850|
nmdc:omprc-11-yt6w0642	remove item	has_output	nmdc:6ddd9dd62764b4c0648dd8f7031a131e|
nmdc:omprc-11-yt6w0642	insert	has_output	nmdc:dobj-11-3p6xw224|
nmdc:omprc-11-qe4cww43	remove item	has_output	nmdc:2c4393100f69aa36881085404e15c085|
nmdc:omprc-11-qe4cww43	insert	has_output	nmdc:dobj-11-3h3z1m32|
nmdc:omprc-11-beeje094	remove item	has_output	nmdc:2d49fe5d67dcc8ab618ac5c11848b0d0|
nmdc:omprc-11-beeje094	insert	has_output	nmdc:dobj-11-x0g0q286|
nmdc:omprc-11-8s9kbz29	remove item	has_output	nmdc:0e58e67025ba5d4255d78733c7f7c8c4|
nmdc:omprc-11-8s9kbz29	insert	has_output	nmdc:dobj-11-y2r7xf97|
nmdc:omprc-11-fax98124	remove item	has_output	nmdc:f67fa9ab4d22a53b2c6020c2ba33403e|
nmdc:omprc-11-fax98124	insert	has_output	nmdc:dobj-11-ks7m0p35|
nmdc:omprc-11-kdn7hr20	remove item	has_output	nmdc:1a9796745d172441fac7f339da2cca60|
nmdc:omprc-11-kdn7hr20	insert	has_output	nmdc:dobj-11-afhws660|
nmdc:omprc-11-4gx7pv13	remove item	has_output	nmdc:9d22999e7d15c9c17c04da2547841734|
nmdc:omprc-11-4gx7pv13	insert	has_output	nmdc:dobj-11-thbm4798|
nmdc:omprc-11-nsvbdn79	remove item	has_output	nmdc:2a8c29ae8922883bd39422aeb8face29|
nmdc:omprc-11-nsvbdn79	insert	has_output	nmdc:dobj-11-ye1npj41|
nmdc:omprc-11-t6bx8a94	remove item	has_output	nmdc:c375644753f4e7c9adb35f5598105fe3|
nmdc:omprc-11-t6bx8a94	insert	has_output	nmdc:dobj-11-atg47h56|
nmdc:omprc-11-qpt8n163	remove item	has_output	nmdc:5e6d6c02aeb54c89babc6f0a07e00ae2|
nmdc:omprc-11-qpt8n163	insert	has_output	nmdc:dobj-11-ahh5xa56|
nmdc:omprc-11-a8wqzf17	remove item	has_output	nmdc:c382b274024654e4d144ac18e9173dcd|
nmdc:omprc-11-a8wqzf17	insert	has_output	nmdc:dobj-11-z861cg72|
nmdc:omprc-11-se1vxx80	remove item	has_output	nmdc:1bd6aa13604e5f84693d8fc16bb198a7|
nmdc:omprc-11-se1vxx80	insert	has_output	nmdc:dobj-11-zp74ns49|
nmdc:omprc-11-c0hm7m26	remove item	has_output	nmdc:a8cb57d6b0b818cf021749773bb24a65|
nmdc:omprc-11-c0hm7m26	insert	has_output	nmdc:dobj-11-9xxnws75|
nmdc:omprc-11-r78ghw23	remove item	has_output	nmdc:662c1168f06ffe7550ddbb8420e08125|
nmdc:omprc-11-r78ghw23	insert	has_output	nmdc:dobj-11-9twf5517|
nmdc:omprc-11-4kyy5h83	remove item	has_output	nmdc:a59c2e51e68688909873b960fbcade60|
nmdc:omprc-11-4kyy5h83	insert	has_output	nmdc:dobj-11-wq9zw388|
nmdc:omprc-11-mthj7281	remove item	has_output	nmdc:5d5538abb50714cda9f3348524197bc1|
nmdc:omprc-11-mthj7281	insert	has_output	nmdc:dobj-11-jb4x0m25|
nmdc:omprc-11-cpkj0m55	remove item	has_output	nmdc:ba4c04b832d41fd4d6a3869ee62efa80|
nmdc:omprc-11-cpkj0m55	insert	has_output	nmdc:dobj-11-kdvqz845|
