collection_name	type	id
data_object_set	nmdc:DataObject	nmdc:3dc75bd74502cbb74932c85d6482ca98
data_object_set	nmdc:DataObject	nmdc:dfa4536b8c1c617fbaaa64ad1ca1b45b
data_object_set	nmdc:DataObject	nmdc:6b46a9e9d3e7fcb56758f156b18b4712
data_object_set	nmdc:DataObject	nmdc:3af2c3d23f2fa5661d527201742e4470
data_object_set	nmdc:DataObject	nmdc:0e6a65f468ae640a5df0cafc49c5ad02
data_object_set	nmdc:DataObject	nmdc:a8f4b128eb3b3838c8f8ab4148f7365f
data_object_set	nmdc:DataObject	nmdc:d3ae400f0200e0e6ed234c1c2c2d3ff2
metagenome_assembly_set	nmdc:MetagenomeAssembly	nmdc:fb8b5bed0faee39b3ace4529f753ad6a
metatranscriptome_activity_set	nmdc:metaT	nmdc:6458a1f7a0068045170d96c3a1822f28
data_object_set	nmdc:DataObject	nmdc:89b215091fffc03897ec9009e93b79a8
data_object_set	nmdc:DataObject	nmdc:0c80bbab7d405704e1b515d6379465e2
data_object_set	nmdc:DataObject	nmdc:c3e6379945c227ccf561367b250802ab
data_object_set	nmdc:DataObject	nmdc:de1dc283fe454d9480313dce58c719b9
data_object_set	nmdc:DataObject	nmdc:3e6f8b9d78e6b05e736b99b93b783c17
data_object_set	nmdc:DataObject	nmdc:1ef396dd78ef4b9fd9cb50723b10fb2c
data_object_set	nmdc:DataObject	nmdc:4d18c6e01982ffea0306606ce840f9fb
data_object_set	nmdc:DataObject	nmdc:d3650b9a7a8a01ad6023bf7a2b222aa2
metagenome_assembly_set	nmdc:MetagenomeAssembly	nmdc:d8ff963e0ee3cb92bda5301953c89b5a
metatranscriptome_activity_set	nmdc:metaT	nmdc:0b68b5981874783436ecd3461d3672a6
data_object_set	nmdc:DataObject	nmdc:294455bde51fa45c75177f5b57953aff
data_object_set	nmdc:DataObject	nmdc:fdf2130774a58ccec868d42405af0603
data_object_set	nmdc:DataObject	nmdc:1c0c7de3bdbf7c007173a981be39f441
data_object_set	nmdc:DataObject	nmdc:8a71dd0c56c299520ad8698b24ba81b7
data_object_set	nmdc:DataObject	nmdc:ad63bd55d3201033983f9e98d8111c2f
data_object_set	nmdc:DataObject	nmdc:7fbd8d476fc8ec0b67c3ca3b8842cf3a
data_object_set	nmdc:DataObject	nmdc:71f86d611030ffbc071a6ce8bcb7a8a9
data_object_set	nmdc:DataObject	nmdc:37f43cc5c09636f2795507a5bc76ecbd
metagenome_assembly_set	nmdc:MetagenomeAssembly	nmdc:68ddec74b2ef773a4806f4ee3a9c8dde
metatranscriptome_activity_set	nmdc:metaT	nmdc:62a2fedbe461262eca0af847b1556b5d
data_object_set	nmdc:DataObject	nmdc:1278a177c90be0b0b6a5a114c680cef1
data_object_set	nmdc:DataObject	nmdc:dd9960a5f89ba7734c5e78f9ab9e0b81
data_object_set	nmdc:DataObject	nmdc:10cc6387932cfae3b8b9bc287ef7ac7b
data_object_set	nmdc:DataObject	nmdc:fecf4928adad0e006e5f01003202ebdb
data_object_set	nmdc:DataObject	nmdc:9a65211bc48a6a1ba42e2eab7f8188a9
data_object_set	nmdc:DataObject	nmdc:164b60e63f42c254a63ab4fdcc99655f
data_object_set	nmdc:DataObject	nmdc:9ead1d11cc61d29abc7c45bb1b05824d
data_object_set	nmdc:DataObject	nmdc:1e9af9e1ba511b86afd37c1675d4ba55
metagenome_assembly_set	nmdc:MetagenomeAssembly	nmdc:b6754664efd3d0292b03ac2d028923db
metatranscriptome_activity_set	nmdc:metaT	nmdc:2d7c075332d5f2295437b76f00f5f7d1
data_object_set	nmdc:DataObject	nmdc:f0bde2bed8ace76941cb0866ea7dc4f9
data_object_set	nmdc:DataObject	nmdc:ece367e98508e74a453eba76019fa7ae
data_object_set	nmdc:DataObject	nmdc:f376b01d23b7d97241b5df495bf3195c
data_object_set	nmdc:DataObject	nmdc:0e4b5066e3f5fcdbe358a45b7e5ddafa
data_object_set	nmdc:DataObject	nmdc:6de5b284342486e714e40f1cfc7f35a5
data_object_set	nmdc:DataObject	nmdc:d7bee0c012323e13610c9ede8025e5f5
data_object_set	nmdc:DataObject	nmdc:d124eb879d069373638ba78a03bc0ebe
data_object_set	nmdc:DataObject	nmdc:9ff8854c13f3b7a079492549943b6df2
metagenome_assembly_set	nmdc:MetagenomeAssembly	nmdc:504fbd42e87fcd5f7276744194a896a7
metatranscriptome_activity_set	nmdc:metaT	nmdc:ed88ffb0233fb3e49d716bb9112ed1d8
data_object_set	nmdc:DataObject	nmdc:5801824d99e5ec427971d3f02a4a819c
data_object_set	nmdc:DataObject	nmdc:8c74875400af4d8568fd797aa86bbdc5
data_object_set	nmdc:DataObject	nmdc:2963d59ff12f2003dde0a15ea10c621d
data_object_set	nmdc:DataObject	nmdc:67239d071633720171910856bd875bae
data_object_set	nmdc:DataObject	nmdc:86191210e25502a0d378be8df604bac3
data_object_set	nmdc:DataObject	nmdc:8d37e1afe8f5adcdca4359d8ec9ada44
data_object_set	nmdc:DataObject	nmdc:f7373922ee4981e36eb86e3acd77ff68
data_object_set	nmdc:DataObject	nmdc:dec3a65cd3d543a85c5a87f544215ed2
metagenome_assembly_set	nmdc:MetagenomeAssembly	nmdc:20d65d6d9d39a355512f06d0ce237749
metatranscriptome_activity_set	nmdc:metaT	nmdc:369043425a2ce67674644d6044224451
data_object_set	nmdc:DataObject	nmdc:e2ba41fb408b6709f8e61501d651c5f1
data_object_set	nmdc:DataObject	nmdc:d0b457b6f23087ba2af0d1532fcd79a8
data_object_set	nmdc:DataObject	nmdc:911ca34ba7f516b55bc0b5f59538ac28
data_object_set	nmdc:DataObject	nmdc:03cc36d770b32dde82a981b677c7a63c
data_object_set	nmdc:DataObject	nmdc:c0d3ebc25dbfa41c7f01e534979a67f5
data_object_set	nmdc:DataObject	nmdc:9eadb698377605a1b0d99a54fc970019
data_object_set	nmdc:DataObject	nmdc:cc13850e8afff115fc6d3056449e594e
data_object_set	nmdc:DataObject	nmdc:9ea222fd87108806d2047631faeae912
metagenome_assembly_set	nmdc:MetagenomeAssembly	nmdc:75f338a8ba040d01db3ea0ad9fb5b4d6
metatranscriptome_activity_set	nmdc:metaT	nmdc:754f813286cac3165f48ebe691dabc3e
data_object_set	nmdc:DataObject	nmdc:13c6ceef56bd4ad1113edcb9c3698e88
data_object_set	nmdc:DataObject	nmdc:da6e9a6548574c61dc0163b12adc5061
data_object_set	nmdc:DataObject	nmdc:ecc9b29d5a7e4270390c638e0640750f
data_object_set	nmdc:DataObject	nmdc:8ce8a1c8ae9e48bec3addb3323d4082d
data_object_set	nmdc:DataObject	nmdc:777104338c5abff4f7569c10b4f4d9a9
data_object_set	nmdc:DataObject	nmdc:e97dec3a31cb394a99c30b1da954f626
data_object_set	nmdc:DataObject	nmdc:68edf1160874fbfb685cf9c76f11fe5d
data_object_set	nmdc:DataObject	nmdc:e694e67f1b18f928c0b07cc9b36f91be
metagenome_assembly_set	nmdc:MetagenomeAssembly	nmdc:8a16344473cbd5ada06b85d06f6e414d
metatranscriptome_activity_set	nmdc:metaT	nmdc:47f893a6cc06ce197ef0822061012f97
data_object_set	nmdc:DataObject	nmdc:e1656e0537d95fcc443e542c45dd7a47
data_object_set	nmdc:DataObject	nmdc:fa2198bb898558ecbab4cd426c4f08fd
data_object_set	nmdc:DataObject	nmdc:6a0c9293b5a4cbce01b8d10dd32cd197
data_object_set	nmdc:DataObject	nmdc:f9f3c59ac243fdc9e330e28c26d35994
data_object_set	nmdc:DataObject	nmdc:21553a87efe28fb65d682af850aa6f31
data_object_set	nmdc:DataObject	nmdc:b38bd06bcee8747b8f52c5985eac3924
data_object_set	nmdc:DataObject	nmdc:a6f9b634e52b67769b6c3c8a5bc51d71
data_object_set	nmdc:DataObject	nmdc:6e165708348ccf28ca469f662c29b2b0
metagenome_assembly_set	nmdc:MetagenomeAssembly	nmdc:29ee749c0b3d705a90bec6709c296e3c
metatranscriptome_activity_set	nmdc:metaT	nmdc:76440cfb52c9d3791940661e863c5fa6
data_object_set	nmdc:DataObject	nmdc:54ce90d9ca1b5ad9e24f21fea7c46443
data_object_set	nmdc:DataObject	nmdc:29d38c4844246be99bfb4b2713e4c2fd
data_object_set	nmdc:DataObject	nmdc:08e4c99d859e9daaa15b66ea4e3177b9
data_object_set	nmdc:DataObject	nmdc:f64cd9b65a09ea7074b1356fcd73640a
data_object_set	nmdc:DataObject	nmdc:3d935aea413d28fddd9d9ff67cbf9c0f
data_object_set	nmdc:DataObject	nmdc:4cd6f9a54b05dd7a4cb70d0536557aee
data_object_set	nmdc:DataObject	nmdc:1bed2bac22376f844f85c589df6330f6
data_object_set	nmdc:DataObject	nmdc:604fe881370c675322fec1dd45016d17
metagenome_assembly_set	nmdc:MetagenomeAssembly	nmdc:57488f80e6938fa6a853cee697c92bdc
metatranscriptome_activity_set	nmdc:metaT	nmdc:88082b5b0ed9f0b43de674babd0f10d6
data_object_set	nmdc:DataObject	nmdc:32bd77df400ddb10ae15a03e9cfb16db
data_object_set	nmdc:DataObject	nmdc:14d6a0d411348b0ee3d86af4dd4427ee
data_object_set	nmdc:DataObject	nmdc:cf0dc62aaaed64dc46bf4ccf489231aa
data_object_set	nmdc:DataObject	nmdc:a02fc96a13be3a6c68a17c5562041390
data_object_set	nmdc:DataObject	nmdc:911eb027155fe1fdf6bddc4c9230093f
data_object_set	nmdc:DataObject	nmdc:cb1a5c7b585d25c721b79bd21acba9a9
data_object_set	nmdc:DataObject	nmdc:c6b2c8c679508df3a43f2ab829c206c0
data_object_set	nmdc:DataObject	nmdc:d6715b7b4258e8b77abbec69efe8c8d4
metagenome_assembly_set	nmdc:MetagenomeAssembly	nmdc:b2fc252cbbf188163f4f11cb479d806a
metatranscriptome_activity_set	nmdc:metaT	nmdc:bd9a4ddd68d17d1f0ed9342c525bbba6
data_object_set	nmdc:DataObject	nmdc:1004a33015f193c4c500b40050c54e9e
data_object_set	nmdc:DataObject	nmdc:34a0679281aea62f772a0b12baf9e907
data_object_set	nmdc:DataObject	nmdc:81f33bc4b2d086a86b06b91e34a6c066
data_object_set	nmdc:DataObject	nmdc:8fd2759064bedca385eb1e5fe12f6559
data_object_set	nmdc:DataObject	nmdc:f10e4d0e543cc3f6477f5a750d627501
data_object_set	nmdc:DataObject	nmdc:38f5ce7db8f640f6b70fa4f66bb7361f
data_object_set	nmdc:DataObject	nmdc:4360bc446b7babf20a2258fc61dcab21
data_object_set	nmdc:DataObject	nmdc:94b2d9e60b8db3564018bc28cb3dd344
metagenome_assembly_set	nmdc:MetagenomeAssembly	nmdc:8b5db3240d4d5694f78fbcd624fb5cb9
metatranscriptome_activity_set	nmdc:metaT	nmdc:cb247b6ae27ec683e88f2e569f6817fc
data_object_set	nmdc:DataObject	nmdc:295d3d3937adaa8229779ba500f15a45
data_object_set	nmdc:DataObject	nmdc:96ea6adace22e916cb0ce4cc9b0da2d2
data_object_set	nmdc:DataObject	nmdc:0b23098c708c4e4549942ad1f8a3609a
data_object_set	nmdc:DataObject	nmdc:42f6277e3f6ca9a6326de910f098019a
data_object_set	nmdc:DataObject	nmdc:552764cc1f91ff0cf6a216bfa16574ca
data_object_set	nmdc:DataObject	nmdc:2877482ed87193ad261ba6b035249fcd
data_object_set	nmdc:DataObject	nmdc:de2cc4b245ef86b8dcf11dd5de4132b7
data_object_set	nmdc:DataObject	nmdc:5c2df8f1562c0ff396d85583dd7d8396
metagenome_assembly_set	nmdc:MetagenomeAssembly	nmdc:41642708ea5ec56d2636e443e0783e20
metatranscriptome_activity_set	nmdc:metaT	nmdc:f93506086a0b0a78f3ae49e46addde0e
data_object_set	nmdc:DataObject	nmdc:baafdf8e1e8d61084ea57a45daffd9b7
data_object_set	nmdc:DataObject	nmdc:a53cc3caceafd7e4a288b31702d27e8e
data_object_set	nmdc:DataObject	nmdc:58e3251bbc3c2152e2808269d86a872c
data_object_set	nmdc:DataObject	nmdc:65645603a980f61f10a973334a193a56
data_object_set	nmdc:DataObject	nmdc:8ff88881fabab20ff0bd05224036f3ee
data_object_set	nmdc:DataObject	nmdc:d2a7ca47fd9b5e9338ebee9419950f37
data_object_set	nmdc:DataObject	nmdc:19bedaad721679cbbfda8993be30563a
data_object_set	nmdc:DataObject	nmdc:b09e6b8e603d3b77bbb4eef2589fbbc4
metagenome_assembly_set	nmdc:MetagenomeAssembly	nmdc:2c66e4afb9ccee54702cfee6147a4354
metatranscriptome_activity_set	nmdc:metaT	nmdc:81413537b3e6379a1f6ea3561cfe737c
data_object_set	nmdc:DataObject	nmdc:578af53896d39353291e10225c83d726
data_object_set	nmdc:DataObject	nmdc:9990d3a3c553a94cc74582391baba5b6
data_object_set	nmdc:DataObject	nmdc:6bdac3563b8453d80073d37261a236c0
data_object_set	nmdc:DataObject	nmdc:2a7758e73c8c0d5ce0d05cdd965bfcb2
data_object_set	nmdc:DataObject	nmdc:ef63ed3d9137d17d65bade077fd423d3
data_object_set	nmdc:DataObject	nmdc:77b7958eeed5deef399d6b394231e5a7
data_object_set	nmdc:DataObject	nmdc:397ba4d4363a26d0f69da5938241cc95
data_object_set	nmdc:DataObject	nmdc:504665aaf1effea043f1cb68afc29f97
metagenome_assembly_set	nmdc:MetagenomeAssembly	nmdc:cf6d49c6553be54fd69119f6aee65897
metatranscriptome_activity_set	nmdc:metaT	nmdc:5ca43c35d0d6221e62c411c498becbd8
data_object_set	nmdc:DataObject	nmdc:151cbaf206401942bc60259ec7cc19c2
data_object_set	nmdc:DataObject	nmdc:6e1ee8665c7abca18cf0a22fe2008a17
