collection_name	legacy_id	new_id
omics_processing_set	gold:Gp0452678	nmdc:omprc-11-whcgrk20
biosample_set	gold:Gb0240018	nmdc:bsm-11-6f7spm34
omics_processing_set	gold:Gp0452713	nmdc:omprc-11-s9btdm10
omics_processing_set	gold:Gp0452661	nmdc:omprc-11-ww1e2654
omics_processing_set	gold:Gp0452646	nmdc:omprc-11-9pgnfp77
omics_processing_set	gold:Gp0452670	nmdc:omprc-11-b4k09q88
omics_processing_set	gold:Gp0452672	nmdc:omprc-11-hpqn7z80
omics_processing_set	gold:Gp0452721	nmdc:omprc-11-020bkw58
biosample_set	gold:Gb0240034	nmdc:bsm-11-2ah5z651
omics_processing_set	gold:Gp0452668	nmdc:omprc-11-79w7qq19
omics_processing_set	gold:Gp0452550	nmdc:omprc-11-02tp7916
omics_processing_set	gold:Gp0452548	nmdc:omprc-11-p47adm33
omics_processing_set	gold:Gp0452676	nmdc:omprc-11-nzcs4v67
biosample_set	gold:Gb0240020	nmdc:bsm-11-wx2twq61
omics_processing_set	gold:Gp0618759	nmdc:omprc-11-cfaemn69
biosample_set	gold:Gb0240121	nmdc:bsm-11-anbvsb66
omics_processing_set	gold:Gp0452549	nmdc:omprc-11-c2d67p96
omics_processing_set	gold:Gp0452654	nmdc:omprc-11-cnw2fp56
biosample_set	gold:Gb0240019	nmdc:bsm-11-2hv7wn93
omics_processing_set	gold:Gp0452712	nmdc:omprc-11-21m54d36
omics_processing_set	gold:Gp0452691	nmdc:omprc-11-z7g65c19
omics_processing_set	gold:Gp0452710	nmdc:omprc-11-qne98f89
biosample_set	gold:Gb0240050	nmdc:bsm-11-h3zgtk70
biosample_set	gold:Gb0240054	nmdc:bsm-11-vkyfya78
omics_processing_set	gold:Gp0452562	nmdc:omprc-11-39mj2m97
biosample_set	gold:Gb0239922	nmdc:bsm-11-r4pd6g83
omics_processing_set	gold:Gp0452666	nmdc:omprc-11-hf969g84
omics_processing_set	gold:Gp0452641	nmdc:omprc-11-n2qsee68
omics_processing_set	gold:Gp0452644	nmdc:omprc-11-434m3q82
omics_processing_set	gold:Gp0452551	nmdc:omprc-11-964wyz26
biosample_set	gold:Gb0240031	nmdc:bsm-11-a1mb8028
biosample_set	gold:Gb0240036	nmdc:bsm-11-vnzzyc20
biosample_set	gold:Gb0240032	nmdc:bsm-11-3kpex275
biosample_set	gold:Gb0240039	nmdc:bsm-11-gfghc374
omics_processing_set	gold:Gp0452673	nmdc:omprc-11-1kt9xf80
omics_processing_set	gold:Gp0452747	nmdc:omprc-11-zza37w91
biosample_set	gold:Gb0240021	nmdc:bsm-11-jyywj745
omics_processing_set	gold:Gp0452553	nmdc:omprc-11-nymrx203
biosample_set	gold:Gb0240119	nmdc:bsm-11-jpc5bt66
biosample_set	gold:Gb0240035	nmdc:bsm-11-dbr4yn11
biosample_set	gold:Gb0240048	nmdc:bsm-11-dkcmr758
omics_processing_set	gold:Gp0452724	nmdc:omprc-11-b4gxmw74
biosample_set	gold:Gb0240095	nmdc:bsm-11-xm82q819
omics_processing_set	gold:Gp0452679	nmdc:omprc-11-rac6f723
omics_processing_set	gold:Gp0452645	nmdc:omprc-11-5qvtsn26
omics_processing_set	gold:Gp0452547	nmdc:omprc-11-xxv2qg83
biosample_set	gold:Gb0240094	nmdc:bsm-11-1302r041
biosample_set	gold:Gb0240025	nmdc:bsm-11-9macc146
biosample_set	gold:Gb0240100	nmdc:bsm-11-b5sgas28
biosample_set	gold:Gb0240024	nmdc:bsm-11-ky8xb849
biosample_set	gold:Gb0240010	nmdc:bsm-11-915df738
omics_processing_set	gold:Gp0452680	nmdc:omprc-11-bsaz5j33
biosample_set	gold:Gb0240086	nmdc:bsm-11-snsgsr36
biosample_set	gold:Gb0239937	nmdc:bsm-11-5pcpjc96
omics_processing_set	gold:Gp0452748	nmdc:omprc-11-2xcx1k41
omics_processing_set	gold:Gp0452741	nmdc:omprc-11-eapvyz51
biosample_set	gold:Gb0240028	nmdc:bsm-11-mczws366
omics_processing_set	gold:Gp0618755	nmdc:omprc-11-3zf24533
biosample_set	gold:Gb0240084	nmdc:bsm-11-cr68f527
biosample_set	gold:Gb0240016	nmdc:bsm-11-72f2yc02
omics_processing_set	gold:Gp0452669	nmdc:omprc-11-apq9g920
omics_processing_set	gold:Gp0452663	nmdc:omprc-11-nhsw6r61
omics_processing_set	gold:Gp0452577	nmdc:omprc-11-gcfqfy91
omics_processing_set	gold:Gp0452640	nmdc:omprc-11-n6f97445
biosample_set	gold:Gb0240052	nmdc:bsm-11-v5a4db42
omics_processing_set	gold:Gp0452726	nmdc:omprc-11-fs032224
biosample_set	gold:Gb0239950	nmdc:bsm-11-mc6pwt10
omics_processing_set	gold:Gp0452659	nmdc:omprc-11-95c5gn47
biosample_set	gold:Gb0239925	nmdc:bsm-11-5p55d563
omics_processing_set	gold:Gp0452552	nmdc:omprc-11-90w41h93
biosample_set	gold:Gb0315665	nmdc:bsm-11-vg29tb70
omics_processing_set	gold:Gp0452734	nmdc:omprc-11-e7mgqr47
biosample_set	gold:Gb0239951	nmdc:bsm-11-exzatp62
omics_processing_set	gold:Gp0452745	nmdc:omprc-11-1xns4938
biosample_set	gold:Gb0240037	nmdc:bsm-11-z4vyvy45
omics_processing_set	gold:Gp0452671	nmdc:omprc-11-q17q2c37
omics_processing_set	gold:Gp0452727	nmdc:omprc-11-3msswm31
biosample_set	gold:Gb0239927	nmdc:bsm-11-q72ew015
biosample_set	gold:Gb0240067	nmdc:bsm-11-tsm65m51
biosample_set	gold:Gb0240042	nmdc:bsm-11-r6r22s63
omics_processing_set	gold:Gp0452674	nmdc:omprc-11-am0dza21
biosample_set	gold:Gb0240087	nmdc:bsm-11-wm11tw31
omics_processing_set	gold:Gp0452546	nmdc:omprc-11-yf5ckp33
biosample_set	gold:Gb0240017	nmdc:bsm-11-823zf212
biosample_set	gold:Gb0239936	nmdc:bsm-11-407zcq77
biosample_set	gold:Gb0239939	nmdc:bsm-11-zq2aws57
biosample_set	gold:Gb0240013	nmdc:bsm-11-ctzkss91
biosample_set	gold:Gb0240115	nmdc:bsm-11-zk8a4504
omics_processing_set	gold:Gp0452638	nmdc:omprc-11-fqj82b98
omics_processing_set	gold:Gp0452677	nmdc:omprc-11-0ft7ex25
omics_processing_set	gold:Gp0452660	nmdc:omprc-11-rvdk9c69
omics_processing_set	gold:Gp0452665	nmdc:omprc-11-azzp1136
biosample_set	gold:Gb0239926	nmdc:bsm-11-ysrg0a54
omics_processing_set	gold:Gp0452658	nmdc:omprc-11-wkttpa18
biosample_set	gold:Gb0240012	nmdc:bsm-11-e90czr72
omics_processing_set	gold:Gp0452544	nmdc:omprc-11-g54wdz69
biosample_set	gold:Gb0239918	nmdc:bsm-11-mrymeq51
biosample_set	gold:Gb0239940	nmdc:bsm-11-8s8j4g78
omics_processing_set	gold:Gp0452662	nmdc:omprc-11-etm7ez66
biosample_set	gold:Gb0239938	nmdc:bsm-11-06pa9m89
biosample_set	gold:Gb0240122	nmdc:bsm-11-4b8h0j70
